epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.882,1.37498,1.71499,1.23294,0.96957,0.18577,0.75633,0.43118,1.16346,2.39016,1.11573,0.000654762,0.000654762,0.000654762
2,534.73,1.35027,1.12014,1.22105,0.96003,0.98026,0.99287,0.61812,1.19928,1.16174,1.13272,0.00130835,0.00130835,0.00130835
3,797.508,1.3142,1.04817,1.21921,0.9799,0.99497,0.99398,0.67305,1.01817,1.26012,1.12414,0.00194873,0.00194873,0.00194873
4,1062.77,1.31217,0.95888,1.21573,0.97118,0.97376,0.98889,0.66942,1.03093,0.93918,1.1144,0.0019406,0.0019406,0.0019406
5,1320.01,1.28408,0.87403,1.2076,0.98052,0.98542,0.99433,0.67534,1.09397,0.74351,1.09585,0.0019208,0.0019208,0.0019208
6,1574.14,1.29075,0.83185,1.20423,0.99989,1,0.995,0.68709,1.05361,0.75603,1.09502,0.001901,0.001901,0.001901
7,1821.77,1.23365,0.75525,1.19296,0.99121,0.986,0.99485,0.72366,0.93985,0.88706,1.02985,0.0018812,0.0018812,0.0018812
8,2086.81,1.25927,0.73741,1.18553,0.98274,0.99628,0.99452,0.62589,1.13195,0.63293,1.20597,0.0018614,0.0018614,0.0018614
9,2350.24,1.21622,0.70286,1.168,0.99754,1,0.995,0.73591,0.89163,0.6362,1.0156,0.0018416,0.0018416,0.0018416
10,2603.79,1.20015,0.67499,1.16172,0.93107,0.94515,0.97278,0.57098,1.27784,0.68605,1.31126,0.0018218,0.0018218,0.0018218
11,2854.57,1.21785,0.65981,1.17652,0.98844,0.99755,0.99494,0.70595,1.03269,0.60419,1.1129,0.001802,0.001802,0.001802
12,3109.82,1.22261,0.65299,1.17566,0.9963,1,0.99462,0.71407,0.99402,0.50477,1.08061,0.0017822,0.0017822,0.0017822
13,3400.47,1.19316,0.64373,1.15976,0.99417,0.99491,0.995,0.75852,0.86943,0.49551,1.01074,0.0017624,0.0017624,0.0017624
14,3679.46,1.16831,0.61917,1.15026,0.99088,0.99125,0.99207,0.67667,1.10108,0.51168,1.11103,0.0017426,0.0017426,0.0017426
15,3946.83,1.17295,0.61087,1.15788,0.99923,1,0.995,0.76861,0.80829,0.4474,1.00025,0.0017228,0.0017228,0.0017228
16,4198.17,1.16239,0.6062,1.1549,0.99959,1,0.995,0.7728,0.81402,0.42854,1.01109,0.001703,0.001703,0.001703
17,4454.95,1.14009,0.5944,1.13514,0.99953,1,0.995,0.73442,0.91264,0.44267,1.06425,0.0016832,0.0016832,0.0016832
18,4706.58,1.17555,0.59286,1.15697,0.99667,1,0.99462,0.77005,0.87245,0.43441,1.0102,0.0016634,0.0016634,0.0016634
19,4962.47,1.14624,0.586,1.14933,0.99626,1,0.99494,0.76634,0.86885,0.42188,1.02964,0.0016436,0.0016436,0.0016436
20,5219.65,1.12978,0.56887,1.12806,0.99966,1,0.995,0.75539,0.86432,0.45971,1.03171,0.0016238,0.0016238,0.0016238
21,5469.64,1.11489,0.56931,1.12444,0.99675,1,0.995,0.78685,0.82873,0.39948,1.01576,0.001604,0.001604,0.001604
22,5714.44,1.12435,0.55883,1.13663,0.99374,1,0.99497,0.76898,0.81142,0.48091,1.00225,0.0015842,0.0015842,0.0015842
23,5957.61,1.12939,0.56274,1.14659,0.9997,1,0.995,0.78176,0.81743,0.41517,0.98395,0.0015644,0.0015644,0.0015644
24,6200.22,1.12847,0.55878,1.14407,0.99992,1,0.995,0.74624,0.88539,0.47109,1.04757,0.0015446,0.0015446,0.0015446
25,6443.72,1.1156,0.54439,1.12836,1,0.99876,0.995,0.77976,0.80439,0.53881,0.99577,0.0015248,0.0015248,0.0015248
26,6688.47,1.09535,0.55205,1.12379,0.99974,1,0.995,0.81157,0.7867,0.37675,0.98091,0.001505,0.001505,0.001505
27,6933.08,1.15036,0.56944,1.16012,0.99973,1,0.995,0.81095,0.74186,0.36758,0.97508,0.0014852,0.0014852,0.0014852
28,7177.89,1.07077,0.53499,1.10921,0.99682,1,0.995,0.82533,0.70861,0.35632,0.96165,0.0014654,0.0014654,0.0014654
29,7421.19,1.06755,0.53085,1.11041,0.9998,1,0.995,0.80176,0.78101,0.36013,0.98428,0.0014456,0.0014456,0.0014456
30,7663.72,1.08878,0.53381,1.12179,0.99957,1,0.995,0.8215,0.75496,0.35795,0.97377,0.0014258,0.0014258,0.0014258
31,7905.13,1.08332,0.53585,1.11956,0.99931,1,0.995,0.79147,0.76506,0.44074,1.00485,0.001406,0.001406,0.001406
32,8146.85,1.045,0.51531,1.0972,0.99887,1,0.995,0.80659,0.73733,0.35812,0.97678,0.0013862,0.0013862,0.0013862
33,8389.7,1.06859,0.51724,1.10791,0.99958,1,0.995,0.81702,0.74621,0.35853,0.97286,0.0013664,0.0013664,0.0013664
34,8631.41,1.06419,0.51698,1.1041,0.99574,1,0.995,0.81622,0.75076,0.34992,0.98079,0.0013466,0.0013466,0.0013466
35,8872.7,1.04463,0.50036,1.09558,0.99631,1,0.995,0.82381,0.71782,0.35667,0.95382,0.0013268,0.0013268,0.0013268
36,9112.71,1.0733,0.51521,1.11313,0.99885,1,0.995,0.81399,0.72343,0.35686,0.97207,0.001307,0.001307,0.001307
37,9354.09,1.06122,0.51543,1.11318,0.99957,1,0.995,0.82205,0.72735,0.33482,0.96509,0.0012872,0.0012872,0.0012872
38,9595.21,1.05948,0.50405,1.10519,0.99917,1,0.995,0.8102,0.71783,0.38036,0.95969,0.0012674,0.0012674,0.0012674
39,9836.42,1.032,0.49657,1.09353,0.99968,1,0.995,0.82527,0.70526,0.32781,0.95648,0.0012476,0.0012476,0.0012476
40,10077.1,1.03962,0.5003,1.09966,0.99976,1,0.995,0.83182,0.69458,0.32136,0.95508,0.0012278,0.0012278,0.0012278
41,10318,1.023,0.49506,1.08646,0.99975,1,0.995,0.84267,0.64386,0.31588,0.92815,0.001208,0.001208,0.001208
42,10560,1.01779,0.49795,1.08379,0.99979,1,0.995,0.83034,0.69938,0.33527,0.94935,0.0011882,0.0011882,0.0011882
43,10801.6,1.03732,0.49654,1.09781,0.99963,1,0.995,0.84366,0.6654,0.31725,0.93547,0.0011684,0.0011684,0.0011684
44,11042.3,1.00655,0.48864,1.08067,0.99979,1,0.995,0.85492,0.63835,0.3062,0.93782,0.0011486,0.0011486,0.0011486
45,11282.8,1.02209,0.48697,1.0881,0.99978,1,0.995,0.82055,0.69793,0.33678,0.96387,0.0011288,0.0011288,0.0011288
46,11524.6,1.01236,0.48719,1.08287,0.99971,1,0.995,0.83029,0.6545,0.32552,0.93316,0.001109,0.001109,0.001109
47,11765.6,0.98756,0.47971,1.07298,0.99972,1,0.995,0.83843,0.66562,0.32349,0.93929,0.0010892,0.0010892,0.0010892
48,12008,1.00665,0.4867,1.07475,0.99978,1,0.995,0.85398,0.66807,0.3203,0.94184,0.0010694,0.0010694,0.0010694
49,12250.9,1.00038,0.48665,1.0777,0.9998,1,0.995,0.84057,0.69388,0.31652,0.95998,0.0010496,0.0010496,0.0010496
50,12492,1.00794,0.48261,1.08867,0.9998,1,0.995,0.82159,0.70793,0.31123,0.96069,0.0010298,0.0010298,0.0010298
51,12733.6,0.95922,0.46438,1.0532,0.9997,1,0.995,0.8493,0.59665,0.31724,0.91166,0.00101,0.00101,0.00101
52,12975,0.99007,0.48073,1.07969,0.99968,1,0.995,0.84715,0.68791,0.30992,0.94967,0.0009902,0.0009902,0.0009902
53,13215.3,0.98144,0.46497,1.06251,0.99978,1,0.995,0.84781,0.65404,0.31291,0.93084,0.0009704,0.0009704,0.0009704
54,13454.8,0.98401,0.47485,1.07189,0.99976,1,0.995,0.82664,0.64151,0.33224,0.93386,0.0009506,0.0009506,0.0009506
55,13694.6,0.98203,0.4665,1.06799,0.99977,1,0.995,0.81936,0.70769,0.31667,0.97447,0.0009308,0.0009308,0.0009308
56,13935,0.9559,0.45893,1.05484,0.9998,1,0.995,0.86468,0.5991,0.28993,0.90731,0.000911,0.000911,0.000911
57,14175.4,0.95546,0.45524,1.05252,0.99979,1,0.995,0.85447,0.61642,0.28964,0.9185,0.0008912,0.0008912,0.0008912
58,14416.2,0.94349,0.4492,1.04677,0.9998,1,0.995,0.85924,0.62432,0.28663,0.9135,0.0008714,0.0008714,0.0008714
59,14655.8,0.9441,0.45652,1.05806,0.99973,1,0.995,0.85669,0.61627,0.28922,0.91946,0.0008516,0.0008516,0.0008516
60,14896.4,0.95547,0.46345,1.05903,0.99923,1,0.995,0.84725,0.61145,0.2988,0.91995,0.0008318,0.0008318,0.0008318
61,15137.4,0.94969,0.4572,1.05507,0.99963,1,0.995,0.86667,0.58816,0.2887,0.90816,0.000812,0.000812,0.000812
62,15377.8,0.95396,0.45078,1.05792,0.99925,1,0.995,0.8471,0.61186,0.29258,0.91586,0.0007922,0.0007922,0.0007922
63,15616.7,0.93181,0.45034,1.04604,0.9998,1,0.995,0.85916,0.59672,0.28877,0.91231,0.0007724,0.0007724,0.0007724
64,15856.7,0.95549,0.46259,1.06231,0.99979,1,0.995,0.86738,0.60944,0.28562,0.90931,0.0007526,0.0007526,0.0007526
65,16096.7,0.92879,0.45444,1.04303,0.99976,1,0.995,0.87118,0.58189,0.2811,0.89518,0.0007328,0.0007328,0.0007328
66,16336.2,0.92349,0.45159,1.036,0.99975,1,0.995,0.85619,0.60509,0.28613,0.90677,0.000713,0.000713,0.000713
67,16574.9,0.92866,0.44512,1.05237,0.99972,1,0.995,0.8684,0.57991,0.28004,0.90198,0.0006932,0.0006932,0.0006932
